Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels_2,Labels_3,Description,Environment,Watchers,Watchers_2,Watchers_3,Log Work,Log Work_2,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks)_2,Inward issue link (Blocks)_3,Outward issue link (Blocks),Outward issue link (Blocks)_2,Outward issue link (Blocks)_3,Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split)_2,Outward issue link (Issue split)_3,Outward issue link (Issue split)_4,Outward issue link (Issue split)_5,Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment_2,Attachment_3,Attachment_4,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Flagged),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint_2,Sprint_3,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team)_2,Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers)_2,Custom field (Watchers)_3,Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch)_2,Custom field (gitBranch)_3,Custom field (gitBranch)_4,Custom field (gitBranch)_5,Custom field (gitBranch)_6,Custom field (gitBranch)_7,Custom field (gitBranch)_8,Custom field (gitBranch)_9,Custom field (gitBranch)_10,Custom field (gitBranch)_11,Custom field (gitBranch)_12,Custom field (gitBranch)_13,Custom field (gitBranch)_14,Custom field (gitBranch)_15,Custom field (gitBranch)_16,Custom field (gitCommitsReferenced),Comment,Comment_2,Comment_3,Comment_4,Comment_5,Comment_6,Comment_7
Refactor FailoverCallback with Soci usage,IR-518,40142,,Task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,muratovv,5/25/19 01:33,8/26/19 14:49,1/18/23 07:01,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-71,,,No,,,Unset,No,,,1|hzwref:001i1y,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Is BFT now supported in 1.0?,IR-519,40160,,Task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,bot_soramitsu,bot_soramitsu,5/26/19 01:22,5/26/19 01:22,1/18/23 07:01,,,,,0,github,,,"the youtube channel say:

V1.0
Will contain only CFT solution

after 1.0 release
• We are going to work on BFT implementation. 1.1v should include BFT implementation.

is this true?",,bot_soramitsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00pbo:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),bot_soramitsu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inconsistent C++/Protobuf type sizes,IR-520,40178,,Task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,igor-egorov,igor-egorov,5/28/19 21:38,5/28/19 21:38,1/18/23 07:01,,,,,0,,,,"The minimum size of a scalar protobuf type is 32, while Iroha uses 16 bits for Quorum and TransactionsNumber. That means that several transactions or queries with different hashes may result in several objects with the same internal representation (due to type downcasts).

 

Need to refactor types. Probably upgrade them to uint32. Also need to check that nothing is going to be broken.",,igor-egorov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00pfo:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),igor-egorov,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refactor ProtoQueryResponseFactory::createTransactionsPageResponse,IR-521,40181,,Task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,igor-egorov,igor-egorov,5/28/19 22:57,5/28/19 22:57,1/18/23 07:01,,,,,0,,,,"Now there are two methods 
ProtoQueryResponseFactory::createTransactionsPageResponse that have almost the same body. Needs to be refactored and code duplication needs to be removed.",,igor-egorov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00pgc:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),igor-egorov,,,,,,,,,,,,,,,,,,,,,,,,,,,
Find workaround for asserts in SetUp and SetUpTestCase,IR-522,40195,,Task,To Do,IR,Iroha,software,ekovalev,,,Low,,,lebdron,muratovv,5/29/19 12:54,8/26/19 14:49,1/18/23 06:32,,,,,0,,,,"Gtest assets don't fail tests when they invoke in SetUp or SetUpTestCase.It has a workaround with flag `--gtest_catch_exceptions=0`. 

Probably, there are more elegant ways to fixing the issue. The task is to find them and apply for the зкщоусе ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-71,,,No,,,Unset,No,,,1|i00pj0:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clash of parallel status streams for one transaction,IR-523,40196,,Bug,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,muratovv,5/29/19 13:29,8/26/19 14:49,1/18/23 07:00,,,,,0,,,,"Assume there is a transaction `tx` with quorum 2. Keys hold separately. Holders send signatures for `tx` parallelly to one peer. 

Status streams of holders may clash: the first holder may see statuses of the second and vice versa.
The task is to prevent streaming clashing for the status stream.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00pj8:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back propagation of statuses for expired transactions,IR-524,40197,,Bug,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,muratovv,5/29/19 13:37,8/26/19 14:49,1/18/23 07:00,,,,,0,bugfix,mst,,"In the corner case, when the transaction receives enough signature but the expiration time is over, the transaction will propagate to OS. But OS will reject transaction (but assumption).
The peer will not notify the client about the expiration of the transaction.

The task is to fix the behavior with back propagation of expiration status in the situation described above.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00pjg:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encrypt private key in main memory,IR-525,40242,,Task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,lebdron,5/31/19 23:06,5/31/19 23:06,1/18/23 07:01,,,,,0,,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00pro:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log transaction movement in the pipeline,IR-526,40243,,Task,In Review,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,lebdron,5/31/19 23:17,3/27/20 18:36,1/18/23 07:00,,,,,0,monitoring,,,"Print a log message with transaction hash in corresponding components when a transaction is received by the component

Check if logging affects the performance for 1 node",,lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-259,,,No,,,Unset,No,,,1|i00mx7:4,,,,Unset,Unset,Sprint 1,Sprint 2,,(Please add steps to reproduce),8,Unset,,,,,,Unset,,Unset,,(Please add usage information),lebdron,,,,,,,,,,,,,,,,,,,,,16/Aug/19 4:03 PM;lebdron;https://github.com/hyperledger/iroha/pull/119;;;,,,,,,
PostgreSQL temporary block storage,IR-527,40247,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,,lebdron,lebdron,5/31/19 23:41,3/27/20 18:01,1/18/23 07:00,8/16/19 15:45,,,,0,,,,"Solution should not introduce performance regressions when the size of the storage is large (e.g. more than 1 million blocks).

Verify that a new transaction can be opened, or existing transaction from mutable storage can be reused.",,lebdron,,,,,,,,,,,,,,,,,,,,,IR-482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00js6:i,,,,,,Sprint 1,Sprint 2,,,13,,,,,,,,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,16/Aug/19 3:45 PM;lebdron;Done in https://github.com/hyperledger/iroha/pull/132;;;,,,,,,
Refactor StorageImpl constructor,IR-528,40248,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,,lebdron,lebdron,5/31/19 23:41,3/27/20 18:01,1/18/23 07:00,6/20/19 18:21,,,,0,,,,"Solution should not introduce performance regressions when the size of the storage is large (e.g. more than 1 million blocks).

Pass PoolWrapper as a dependency to StorageImpl::create",,lebdron,,,,,,,,,,,,,,,,,,,,,IR-482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00mx3:i,,,,,,Sprint 1,Sprint 2,,,8,,,,,,,,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,
Integrate PostgreSQL block storage in StorageImpl,IR-529,40249,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,,lebdron,lebdron,5/31/19 23:41,3/27/20 18:01,1/18/23 07:00,8/16/19 15:57,,,,0,,,,Solution should not introduce performance regressions when the size of the storage is large (e.g. more than 1 million blocks).,,lebdron,,,,,,,,,,,,,,,,,,,,,IR-482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00mx3:r,,,,,,Sprint 1,Sprint 2,,,8,,,,,,,,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,16/Aug/19 3:57 PM;lebdron;Done in https://github.com/hyperledger/iroha/pull/132;;;,,,,,,
Research remove peer command requirements,IR-530,40270,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,lebdron,lebdron,lebdron,6/3/19 18:28,6/11/19 18:47,1/18/23 07:01,6/11/19 18:47,,,,0,,,,Write technical restrictions in POW,,lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00pxr:,,,,Unset,Unset,Sprint 1,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),lebdron,,,,,,,,,,,,,,,,,,,,,03/Jun/19 11:15 PM;lebdron;Estimate: 3d;;;,05/Jun/19 7:11 PM;lebdron;https://soramitsu.atlassian.net/wiki/spaces/IS/pages/1138425857/Reconfiguration+%28peer+management%29+notes?atlOrigin=eyJpIjoiNTU5MmFkMTU1OGE0NGE1MThlNjJjYTBhNzY2ZGQ2MTkiLCJwIjoiYyJ9;;;,,,,,
Proposal consensus prototype,IR-531,40271,,Task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,lebdron,6/3/19 18:29,8/16/19 15:58,1/18/23 07:01,,,,,0,,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00rnc:,,,,Unset,Unset,Sprint 1,Sprint 2,,(Please add steps to reproduce),21,Unset,,,,,,Unset,,Unset,,(Please add usage information),lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetPeers query - request and validation,IR-532,40272,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,igor-egorov,lebdron,lebdron,6/3/19 18:31,7/3/19 22:56,1/18/23 07:01,7/3/19 22:56,,,,0,,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,,IR-544,IR-545,IR-546,IR-552,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00pxh:,,,,Unset,Unset,Sprint 1,Sprint 2,,(Please add steps to reproduce),8,Unset,,,,,,Unset,,Unset,,(Please add usage information),lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetAccountTransferTransactions query - request and validation,IR-533,40273,41812,Sub-task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,lebdron,6/3/19 18:31,8/15/19 21:19,1/18/23 07:01,,,,,0,api,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,,IR-548,IR-549,IR-550,IR-551,IR-553,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzwref:001i00006i,,,,Unset,Unset,,,,(Please add steps to reproduce),8,Unset,,,,,,Unset,,Unset,,(Please add usage information),lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,
Static analysis tools research,IR-534,40274,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,lebdron,lebdron,lebdron,6/3/19 18:32,8/16/19 15:36,1/18/23 07:01,8/16/19 15:36,,,,0,,,,,,jsiegrist,lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,IR-64,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzwref:001i00009,,,,Unset,Unset,Sprint 1,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),jsiegrist,lebdron,,,,,,,,,,,,,,,,,,,,03/Jul/19 7:49 PM;jsiegrist;[~lebdron]: what in particular are you looking for with this one? Build system extension or PR validation or some other use? What programming languages are you hoping to find static analysis tools for?;;;,"03/Jul/19 8:53 PM;lebdron;PR validation and ""nightly"" checks. For programming languages, C++ should be enough. Sonarqube which we use currently in CI does not produce useful output since it does not seem to support Cpp14. I have set up a project in Coverity, but they only started to support Cpp14 since the middle of last month, so I need to try it again.;;;","03/Jul/19 9:02 PM;jsiegrist;The current docs for Sonarqube claim that C++14 is supported. Is it possible the installed infrastructure needs to be upgraded to a new version of SonarQube?

In the meantime, is a library like this the type of thing you’re after? https://github.com/facebookincubator/SPARTA;;;","03/Jul/19 9:12 PM;jsiegrist;According to Sonarqube docs, C++17/18 support was added with release 6.1 of the C/C++ plugin in February 2019. Going back through the version history, I couldn’t find where C++14 was added it was so long ago. So for your SonarQube to not support your C++14 code, it must be very old indeed.;;;","03/Jul/19 9:17 PM;lebdron;Right now we are using https://github.com/SonarSource/sonar-scanner-cli 3.3.0.1492 , and for example here https://jenkins.soramitsu.co.jp/blue/rest/organizations/jenkins/pipelines/iroha/pipelines/iroha-hyperledger/branches/PR-131/runs/2/nodes/37/steps/290/log/?start=0 it produces a lot of syntax errors. Should we use another tool to send the data to the local Sonarqube instance?;;;","03/Jul/19 10:46 PM;jsiegrist;This suggests a locally installed binary on one of the build servers which may or may not be configured to update itself (depending on how it was installed): [https://github.com/hyperledger/iroha/blob/master/Jenkinsfile#L217]

 

Per SonarQube docs here:  [https://docs.sonarqube.org/latest/analysis/scan/sonarscanner-for-jenkins/]

This appears to be missing the withSonarQubeEnv() configuration and/or Jenkins global tools configuration:

[https://github.com/hyperledger/iroha/blob/master/.jenkinsci-new/builders/x64-linux-build-steps.groovy#L126]

Not sure which of these or either is the source of your SonarQube not accepting your configurations.;;;",15/Aug/19 9:31 PM;lebdron;Decided to integrate Coverity for the time being;;;
Measure proto messages allocation time,IR-535,40275,,Task,To Do,IR,Iroha,software,ekovalev,,,Low,,,lebdron,lebdron,6/3/19 18:45,3/30/20 19:52,1/18/23 07:00,,,,,0,,,,"The time for the following operations should be measured:
- Proposal creation in OS
- Proposal copy in OS client
- Verified proposal creation in Stateful validator
- Block creation in Simulator
- Block copy in Block loader service
- Block copy in Block loader

Note that the list may not be complete.",,lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-259,,,No,,,Unset,No,,,1|hzwref:001i0006,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pending storage pagination - response,IR-536,40276,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,igor-egorov,lebdron,lebdron,6/3/19 18:53,8/26/19 18:23,1/18/23 07:00,6/17/19 20:37,,,,0,,,,Implement according to the [POW|https://soramitsu.atlassian.net/wiki/spaces/IS/pages/1075281947/POW+N+089+Pagination+for+Pending+Transactions+Storage],,igor-egorov,lebdron,,,,,,,,,,,,,,,,,,,,IR-23,,,,,,,,,,,,,,,,,,,,IR-65,,,,,,,,,,1|i00mx4:i,,,,,,Sprint 1,Sprint 2,,,2,,,,,,,,,,,,igor-egorov,lebdron,,,,,,,,,,,,,,,,,,,,11/Jun/19 12:20 AM;igor-egorov;https://github.com/soramitsu/iroha/pull/9;;;,"13/Jun/19 10:23 PM;igor-egorov;[https://github.com/hyperledger/iroha/pull/116]

 

 ;;;",,,,,
Pending storage pagination - storage logic,IR-537,40277,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,igor-egorov,lebdron,lebdron,6/3/19 18:53,8/26/19 18:23,1/18/23 07:00,6/17/19 20:37,,,,0,,,,Implement according to the [POW|https://soramitsu.atlassian.net/wiki/spaces/IS/pages/1075281947/POW+N+089+Pagination+for+Pending+Transactions+Storage],,igor-egorov,lebdron,,,,,,,,,,,,,,,,,,,,IR-23,,,,,,,,,,,,,,,,,,,,IR-65,,,,,,,,,,1|i00mx5:,,,,,,Sprint 1,Sprint 2,,,8,,,,,,,,,,,,igor-egorov,lebdron,,,,,,,,,,,,,,,,,,,,11/Jun/19 12:20 AM;igor-egorov;https://github.com/soramitsu/iroha/pull/9;;;,13/Jun/19 10:23 PM;igor-egorov;https://github.com/hyperledger/iroha/pull/116;;;,,,,,
Pending storage pagination - update old tests,IR-538,40278,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,igor-egorov,lebdron,lebdron,6/3/19 18:53,8/26/19 18:23,1/18/23 07:00,6/17/19 20:37,,,,0,,,,Implement according to the [POW|https://soramitsu.atlassian.net/wiki/spaces/IS/pages/1075281947/POW+N+089+Pagination+for+Pending+Transactions+Storage],,igor-egorov,lebdron,,,,,,,,,,,,,,,,,,,,IR-23,IR-539,IR-540,,,,,,,,,,,,,,,,,,IR-65,,,,,,,,,,1|i00mx5:i,,,,,,Sprint 1,Sprint 2,,,13,,,,,,,,,,,,igor-egorov,lebdron,,,,,,,,,,,,,,,,,,,,13/Jun/19 10:23 PM;igor-egorov;https://github.com/hyperledger/iroha/pull/116;;;,,,,,,
Pending storage pagination - documentation,IR-539,40280,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,igor-egorov,lebdron,lebdron,6/3/19 19:57,8/26/19 18:23,1/18/23 07:00,6/17/19 20:37,,,,0,,,,Implement according to the [POW|https://soramitsu.atlassian.net/wiki/spaces/IS/pages/1075281947/POW+N+089+Pagination+for+Pending+Transactions+Storage],,igor-egorov,lebdron,,,,,,,,,,,,,,,,,,,,IR-538,,,,,,,,,,,,,,,,,,,,IR-65,,,,,,,,,,1|i00mx5:r,,,,,,Sprint 1,Sprint 2,,,5,,,,,,,,,,,,igor-egorov,lebdron,,,,,,,,,,,,,,,,,,,,13/Jun/19 10:25 PM;igor-egorov;[https://github.com/hyperledger/iroha/pull/116];;;,,,,,,
Pending storage pagination - implement new tests,IR-540,40281,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,igor-egorov,lebdron,lebdron,6/3/19 19:58,8/26/19 18:23,1/18/23 07:00,6/17/19 20:37,,,,0,,,,Implement according to the [POW|https://soramitsu.atlassian.net/wiki/spaces/IS/pages/1075281947/POW+N+089+Pagination+for+Pending+Transactions+Storage],,igor-egorov,lebdron,,,,,,,,,,,,,,,,,,,,IR-538,,,,,,,,,,,,,,,,,,,,IR-65,,,,,,,,,,1|i00mx5:k,,,,,,Sprint 1,Sprint 2,,,13,,,,,,,,,,,,igor-egorov,lebdron,,,,,,,,,,,,,,,,,,,,13/Jun/19 10:25 PM;igor-egorov;[https://github.com/hyperledger/iroha/pull/116];;;,,,,,,
GetAccountDetail pagination - documentation,IR-541,40282,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,Mikhail_Boldyrev,Mikhail_Boldyrev,lebdron,6/3/19 20:08,6/17/19 20:35,1/18/23 07:01,6/17/19 20:35,,,,0,,,,Client API should support GetAccountDetail pagination without breaking backward compatibility.,,lebdron,,,,,,,,,,,,,,,,,,,,,IR-506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzwref:001i000c,,,,,,,,,,,,,,,,,,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measure network interaction time for endpoints,IR-542,40283,,Task,To Do,IR,Iroha,software,ekovalev,,,Lowest,,,lebdron,lebdron,6/3/19 20:10,3/30/20 19:50,1/18/23 07:00,,,,,0,,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-259,,,No,,,Unset,No,,,1|i01aac:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parse logs and create histogram for transaction pipeline,IR-543,40287,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,,lebdron,lebdron,6/3/19 21:58,3/27/20 18:36,1/18/23 07:00,8/5/19 15:43,,,,0,,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00mx7:6,,,,Unset,Unset,Sprint 1,Sprint 2,,(Please add steps to reproduce),13,Unset,,,,,,Unset,,Unset,,(Please add usage information),lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetPeers query - response,IR-544,40288,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,igor-egorov,lebdron,lebdron,6/3/19 22:19,7/3/19 22:56,1/18/23 07:01,7/3/19 22:56,,,,0,,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,IR-532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00pxi:,,,,,,Sprint 1,Sprint 2,,,5,,,,,,,,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetPeers query - executor,IR-545,40289,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,igor-egorov,lebdron,lebdron,6/3/19 22:19,7/3/19 22:56,1/18/23 07:01,7/3/19 22:56,,,,0,,,,Add corresponding permission,,lebdron,,,,,,,,,,,,,,,,,,,,,IR-532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00pxn:2,,,,,,Sprint 2,,,,13,,,,,,,,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetPeers query - tests,IR-546,40290,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,igor-egorov,lebdron,lebdron,6/3/19 22:19,7/3/19 22:56,1/18/23 07:01,7/3/19 22:56,,,,0,,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,IR-532,IR-547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00pxn:4,,,,,,Sprint 2,,,,5,,,,,,,,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetPeers query - documentation,IR-547,40291,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,igor-egorov,lebdron,lebdron,6/3/19 22:19,7/3/19 22:56,1/18/23 07:01,7/3/19 22:56,,,,0,,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,IR-546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00pxn:,,,,,,Sprint 1,Sprint 2,,,3,,,,,,,,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetAccountTransferTransactions query - response,IR-548,40292,41812,Sub-task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,lebdron,6/3/19 22:20,8/15/19 21:19,1/18/23 07:01,,,,,0,api,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,IR-533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzwref:001i00007,,,,,,,,,,8,,,,,,,,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetAccountTransferTransactions query - executor,IR-549,40293,41812,Sub-task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,lebdron,6/3/19 22:20,8/15/19 21:19,1/18/23 07:01,,,,,0,api,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,IR-533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzwref:001i00007i,,,,,,,,,,8,,,,,,,,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetAccountTransferTransactions query - tests,IR-550,40294,41812,Sub-task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,lebdron,6/3/19 22:20,8/15/19 21:19,1/18/23 07:01,,,,,0,api,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,IR-533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzwref:001i00008,,,,,,,,,,13,,,,,,,,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetAccountTransferTransactions query - documentation,IR-551,40295,41812,Sub-task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,lebdron,6/3/19 22:20,8/15/19 21:19,1/18/23 07:01,,,,,0,api,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,IR-533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzwref:001i00008i,,,,,,,,,,3,,,,,,,,,,,,lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetPeers query - POW,IR-552,40296,,Task,Closed,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,lebdron,6/3/19 22:21,6/17/19 15:44,1/18/23 07:01,,,,,0,,,,,,igor-egorov,lebdron,,,,,,,,,,,,,,,,,,,,IR-532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00pzc:,,,,,,Sprint 1,Sprint 2,,,,,,,,,,,,,,,igor-egorov,lebdron,,,,,,,,,,,,,,,,,,,,14/Jun/19 10:37 PM;igor-egorov;No pow(;;;,,,,,,
